Instance,Terminal,Layer,X location,Y location,Voltage
PHY_EDGE_ROW_12_Left_29,VSS,Metal1,3.9130,51.4300,0.000086
PHY_EDGE_ROW_11_Left_28,VSS,Metal1,3.9130,50.4900,0.000086
PHY_EDGE_ROW_10_Left_27,VSS,Metal1,3.9130,43.5900,0.000168
PHY_EDGE_ROW_9_Left_26,VSS,Metal1,3.9130,42.6500,0.000168
PHY_EDGE_ROW_8_Left_25,VSS,Metal1,3.9130,35.7500,0.000182
PHY_EDGE_ROW_7_Left_24,VSS,Metal1,3.9130,34.8100,0.000182
PHY_EDGE_ROW_6_Left_23,VSS,Metal1,3.9130,27.9100,0.000038
PHY_EDGE_ROW_5_Left_22,VSS,Metal1,3.9130,26.9700,0.000038
PHY_EDGE_ROW_4_Left_21,VSS,Metal1,3.9130,20.0700,0.000161
PHY_EDGE_ROW_3_Left_20,VSS,Metal1,3.9130,19.1300,0.000161
PHY_EDGE_ROW_2_Left_19,VSS,Metal1,3.9130,12.2300,0.000018
PHY_EDGE_ROW_1_Left_18,VSS,Metal1,3.9130,11.2900,0.000018
PHY_EDGE_ROW_0_Left_17,VSS,Metal1,3.9130,4.3900,0.000000
PHY_EDGE_ROW_16_Right_16,VSS,Metal1,70.5665,67.1100,0.000000
PHY_EDGE_ROW_15_Right_15,VSS,Metal1,70.5665,66.1700,0.000000
PHY_EDGE_ROW_14_Right_14,VSS,Metal1,70.5665,59.2700,0.000017
PHY_EDGE_ROW_13_Right_13,VSS,Metal1,70.5665,58.3300,0.000017
PHY_EDGE_ROW_12_Right_12,VSS,Metal1,70.5665,51.4300,0.000099
PHY_EDGE_ROW_11_Right_11,VSS,Metal1,70.5665,50.4900,0.000099
PHY_EDGE_ROW_10_Right_10,VSS,Metal1,70.5665,43.5900,0.000184
PHY_EDGE_ROW_9_Right_9,VSS,Metal1,70.5665,42.6500,0.000184
PHY_EDGE_ROW_8_Right_8,VSS,Metal1,70.5665,35.7500,0.000244
PHY_EDGE_ROW_7_Right_7,VSS,Metal1,70.5665,34.8100,0.000244
PHY_EDGE_ROW_6_Right_6,VSS,Metal1,70.5665,27.9100,0.000049
PHY_EDGE_ROW_5_Right_5,VSS,Metal1,70.5665,26.9700,0.000049
PHY_EDGE_ROW_4_Right_4,VSS,Metal1,70.5665,20.0700,0.000161
PHY_EDGE_ROW_3_Right_3,VSS,Metal1,70.5665,19.1300,0.000161
PHY_EDGE_ROW_2_Right_2,VSS,Metal1,70.5665,12.2300,0.000020
PHY_EDGE_ROW_1_Right_1,VSS,Metal1,70.5665,11.2900,0.000020
PHY_EDGE_ROW_0_Right_0,VSS,Metal1,70.5665,4.3900,0.000000
_76_,VSS,Metal1,44.9630,51.4780,0.000099
_75_,VSS,Metal1,51.6830,42.6015,0.000184
_74_,VSS,Metal1,51.6830,27.9580,0.000049
_73_,VSS,Metal1,39.9230,12.2780,0.000020
_72_,VSS,Metal1,28.7230,19.0815,0.000161
_71_,VSS,Metal1,12.4830,26.9215,0.000038
_70_,VSS,Metal1,12.4830,35.7980,0.000182
_69_,VSS,Metal1,13.2765,51.4780,0.000086
_68_,VSS,Metal1,30.0765,50.4415,0.000097
_67_,VSS,Metal1,39.5800,50.6525,0.000099
_66_,VSS,Metal1,50.1625,50.6835,0.000099
_65_,VSS,Metal1,46.9600,50.6125,0.000099
_64_,VSS,Metal1,38.7650,42.7105,0.000184
_63_,VSS,Metal1,38.1200,34.9685,0.000244
_62_,VSS,Metal1,40.3430,27.8205,0.000047
_61_,VSS,Metal1,46.4265,27.0665,0.000049
_60_,VSS,Metal1,44.9075,35.0035,0.000244
_59_,VSS,Metal1,34.0800,27.0925,0.000041
_58_,VSS,Metal1,27.8375,34.9600,0.000243
_57_,VSS,Metal1,33.0000,27.7510,0.000041
_56_,VSS,Metal1,20.2130,27.8130,0.000037
_55_,VSS,Metal1,25.8130,27.0665,0.000041
_54_,VSS,Metal1,26.1930,27.7950,0.000041
_53_,VSS,Metal1,11.6330,19.9550,0.000161
_52_,VSS,Metal1,14.7400,27.7475,0.000038
_51_,VSS,Metal1,9.0865,27.7950,0.000038
_50_,VSS,Metal1,15.3575,35.0035,0.000181
_49_,VSS,Metal1,19.2025,42.8000,0.000168
_48_,VSS,Metal1,20.6775,43.4535,0.000168
_47_,VSS,Metal1,15.2530,58.3605,0.000017
_46_,VSS,Metal1,14.3225,43.3960,0.000168
_45_,VSS,Metal1,20.6125,50.6835,0.000086
_44_,VSS,Metal1,15.5530,50.6050,0.000086
_43_,VSS,Metal1,27.6830,43.4915,0.000169
_42_,VSS,Metal1,24.9625,51.2360,0.000097
_41_,VSS,Metal1,28.7975,51.2360,0.000097
_40_,VSS,Metal1,30.9800,43.4550,0.000170
_39_,VSS,Metal1,14.9400,42.7850,0.000168
_38_,VSS,Metal1,16.9800,27.7750,0.000038
_37_,VSS,Metal1,29.3000,27.1050,0.000041
_36_,VSS,Metal1,36.2200,27.7750,0.000042
_35_,VSS,Metal1,49.1000,34.9450,0.000244
_34_,VSS,Metal1,55.8200,35.6150,0.000244
