Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_154,VDD,Metal1,92.3465,7.2630,5.000000
FILLER_0_138,VDD,Metal1,85.7280,7.1480,5.000000
FILLER_0_104,VDD,Metal1,71.2355,7.0710,5.000000
FILLER_0_101,VDD,Metal1,60.2000,7.8400,5.000000
FILLER_0_84,VDD,Metal1,50.6800,7.8400,5.000000
FILLER_0_82,VDD,Metal1,49.8400,7.8400,5.000000
FILLER_0_78,VDD,Metal1,48.5400,7.4075,5.000000
FILLER_0_70,VDD,Metal1,45.3065,7.2630,5.000000
FILLER_0_36,VDD,Metal1,33.1555,7.0710,5.000000
FILLER_0_2,VDD,Metal1,14.1155,7.0710,5.000000
clkload0,VDD,Metal1,65.8030,39.5900,4.999929
clkbuf_1_1__f_clk_i,VDD,Metal1,77.1310,46.5425,4.999565
clkbuf_1_0__f_clk_i,VDD,Metal1,42.1485,54.3825,4.999799
clkbuf_0_clk_i,VDD,Metal1,58.6510,47.5370,4.999565
output11,VDD,Metal1,90.5300,63.0500,4.999916
output10,VDD,Metal1,90.5300,62.3900,4.999916
output9,VDD,Metal1,90.5300,39.5300,4.999929
output8,VDD,Metal1,90.5300,38.8700,4.999929
output7,VDD,Metal1,55.6300,7.5100,5.000000
output6,VDD,Metal1,51.1500,8.1700,5.000000
output5,VDD,Metal1,9.1500,62.3900,4.999926
output4,VDD,Metal1,9.1500,70.2300,4.999992
output3,VDD,Metal1,56.1900,93.7500,4.999984
input2,VDD,Metal1,8.7700,63.0500,4.999926
input1,VDD,Metal1,46.8500,93.7500,4.999985
TAP_TAPCELL_ROW_22_95,VDD,Metal1,80.0800,93.4100,4.999984
TAP_TAPCELL_ROW_22_94,VDD,Metal1,61.0400,93.4100,4.999984
TAP_TAPCELL_ROW_22_93,VDD,Metal1,42.0000,93.4100,4.999986
TAP_TAPCELL_ROW_22_92,VDD,Metal1,22.9600,93.4100,4.999987
TAP_TAPCELL_ROW_21_91,VDD,Metal1,82.3200,86.9100,5.000000
TAP_TAPCELL_ROW_21_90,VDD,Metal1,43.1200,86.9100,5.000000
TAP_TAPCELL_ROW_20_89,VDD,Metal1,62.7200,85.5700,5.000000
TAP_TAPCELL_ROW_20_88,VDD,Metal1,23.5200,85.5700,5.000000
TAP_TAPCELL_ROW_19_87,VDD,Metal1,82.3200,79.0700,5.000000
TAP_TAPCELL_ROW_19_86,VDD,Metal1,43.1200,79.0700,5.000000
TAP_TAPCELL_ROW_18_85,VDD,Metal1,62.7200,77.7300,5.000000
TAP_TAPCELL_ROW_18_84,VDD,Metal1,23.5200,77.7300,5.000000
TAP_TAPCELL_ROW_17_83,VDD,Metal1,82.3200,71.2300,4.999992
TAP_TAPCELL_ROW_17_82,VDD,Metal1,43.1200,71.2300,4.999992
TAP_TAPCELL_ROW_16_81,VDD,Metal1,62.7200,69.8900,4.999992
TAP_TAPCELL_ROW_16_80,VDD,Metal1,23.5200,69.8900,4.999992
TAP_TAPCELL_ROW_15_79,VDD,Metal1,82.3200,63.3900,4.999916
TAP_TAPCELL_ROW_15_78,VDD,Metal1,43.1200,63.3900,4.999920
TAP_TAPCELL_ROW_14_77,VDD,Metal1,62.7200,62.0500,4.999916
TAP_TAPCELL_ROW_14_76,VDD,Metal1,23.5200,62.0500,4.999924
TAP_TAPCELL_ROW_13_75,VDD,Metal1,82.3200,55.5500,4.999799
TAP_TAPCELL_ROW_13_74,VDD,Metal1,43.1200,55.5500,4.999799
TAP_TAPCELL_ROW_12_73,VDD,Metal1,62.7200,54.2100,4.999799
TAP_TAPCELL_ROW_12_72,VDD,Metal1,23.5200,54.2100,4.999809
TAP_TAPCELL_ROW_11_71,VDD,Metal1,82.3200,47.7100,4.999565
TAP_TAPCELL_ROW_11_70,VDD,Metal1,43.1200,47.7100,4.999568
TAP_TAPCELL_ROW_10_69,VDD,Metal1,62.7200,46.3700,4.999565
TAP_TAPCELL_ROW_10_68,VDD,Metal1,23.5200,46.3700,4.999684
TAP_TAPCELL_ROW_9_67,VDD,Metal1,82.3200,39.8700,4.999929
TAP_TAPCELL_ROW_9_66,VDD,Metal1,43.1200,39.8700,4.999942
TAP_TAPCELL_ROW_8_65,VDD,Metal1,62.7200,38.5300,4.999938
TAP_TAPCELL_ROW_8_64,VDD,Metal1,23.5200,38.5300,4.999945
TAP_TAPCELL_ROW_7_63,VDD,Metal1,82.3200,32.0300,4.999960
TAP_TAPCELL_ROW_7_62,VDD,Metal1,43.1200,32.0300,4.999963
TAP_TAPCELL_ROW_6_61,VDD,Metal1,62.7200,30.6900,4.999960
TAP_TAPCELL_ROW_6_60,VDD,Metal1,23.5200,30.6900,4.999964
TAP_TAPCELL_ROW_5_59,VDD,Metal1,82.3200,24.1900,5.000000
TAP_TAPCELL_ROW_5_58,VDD,Metal1,43.1200,24.1900,5.000000
TAP_TAPCELL_ROW_4_57,VDD,Metal1,62.7200,22.8500,5.000000
TAP_TAPCELL_ROW_4_56,VDD,Metal1,23.5200,22.8500,5.000000
TAP_TAPCELL_ROW_3_55,VDD,Metal1,82.3200,16.3500,5.000000
TAP_TAPCELL_ROW_3_54,VDD,Metal1,43.1200,16.3500,5.000000
TAP_TAPCELL_ROW_2_53,VDD,Metal1,62.7200,15.0100,5.000000
TAP_TAPCELL_ROW_2_52,VDD,Metal1,23.5200,15.0100,5.000000
TAP_TAPCELL_ROW_1_51,VDD,Metal1,82.3200,8.5100,5.000000
TAP_TAPCELL_ROW_1_50,VDD,Metal1,43.1200,8.5100,5.000000
TAP_TAPCELL_ROW_0_49,VDD,Metal1,80.0800,7.1700,5.000000
TAP_TAPCELL_ROW_0_48,VDD,Metal1,61.0400,7.1700,5.000000
TAP_TAPCELL_ROW_0_47,VDD,Metal1,42.0000,7.1700,5.000000
TAP_TAPCELL_ROW_0_46,VDD,Metal1,22.9600,7.1700,5.000000
PHY_EDGE_ROW_22_Left_45,VDD,Metal1,3.9130,93.4080,4.999988
PHY_EDGE_ROW_21_Left_44,VDD,Metal1,3.9130,86.9115,5.000000
PHY_EDGE_ROW_20_Left_43,VDD,Metal1,3.9130,85.5680,5.000000
PHY_EDGE_ROW_19_Left_42,VDD,Metal1,3.9130,79.0715,5.000000
PHY_EDGE_ROW_18_Left_41,VDD,Metal1,3.9130,77.7280,5.000000
PHY_EDGE_ROW_17_Left_40,VDD,Metal1,3.9130,71.2315,4.999992
PHY_EDGE_ROW_16_Left_39,VDD,Metal1,3.9130,69.8880,4.999992
PHY_EDGE_ROW_15_Left_38,VDD,Metal1,3.9130,63.3915,4.999926
PHY_EDGE_ROW_14_Left_37,VDD,Metal1,3.9130,62.0480,4.999926
PHY_EDGE_ROW_13_Left_36,VDD,Metal1,3.9130,55.5515,4.999817
PHY_EDGE_ROW_12_Left_35,VDD,Metal1,3.9130,54.2080,4.999817
PHY_EDGE_ROW_11_Left_34,VDD,Metal1,3.9130,47.7115,4.999697
PHY_EDGE_ROW_10_Left_33,VDD,Metal1,3.9130,46.3680,4.999697
PHY_EDGE_ROW_9_Left_32,VDD,Metal1,3.9130,39.8715,4.999947
PHY_EDGE_ROW_8_Left_31,VDD,Metal1,3.9130,38.5280,4.999947
PHY_EDGE_ROW_7_Left_30,VDD,Metal1,3.9130,32.0315,4.999964
PHY_EDGE_ROW_6_Left_29,VDD,Metal1,3.9130,30.6880,4.999964
PHY_EDGE_ROW_5_Left_28,VDD,Metal1,3.9130,24.1915,5.000000
PHY_EDGE_ROW_4_Left_27,VDD,Metal1,3.9130,22.8480,5.000000
PHY_EDGE_ROW_3_Left_26,VDD,Metal1,3.9130,16.3515,5.000000
PHY_EDGE_ROW_2_Left_25,VDD,Metal1,3.9130,15.0080,5.000000
PHY_EDGE_ROW_1_Left_24,VDD,Metal1,3.9130,8.5115,5.000000
PHY_EDGE_ROW_0_Left_23,VDD,Metal1,3.9130,7.1680,5.000000
PHY_EDGE_ROW_22_Right_22,VDD,Metal1,95.7665,93.4080,4.999984
PHY_EDGE_ROW_21_Right_21,VDD,Metal1,95.7665,86.9115,5.000000
PHY_EDGE_ROW_20_Right_20,VDD,Metal1,95.7665,85.5680,5.000000
PHY_EDGE_ROW_19_Right_19,VDD,Metal1,95.7665,79.0715,5.000000
PHY_EDGE_ROW_18_Right_18,VDD,Metal1,95.7665,77.7280,5.000000
PHY_EDGE_ROW_17_Right_17,VDD,Metal1,95.7665,71.2315,4.999992
PHY_EDGE_ROW_16_Right_16,VDD,Metal1,95.7665,69.8880,4.999992
PHY_EDGE_ROW_15_Right_15,VDD,Metal1,95.7665,63.3915,4.999916
